Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
12,22,1,0,54.54,2.00,lbw,1,v Sri Lanka,Dambulla,18-Aug-08
37,67,6,0,55.22,2.00,caught,2,v Sri Lanka,Dambulla,20-Aug-08
25,38,4,0,65.78,1.00,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08
54,66,7,0,81.81,1.00,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08
31,46,3,1,67.39,1.00,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08
2,2,0,0,100.00,7.00,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09
30,41,3,0,73.17,4.00,caught,2,v Australia,Vadodara,25-Oct-09
10,16,1,0,62.50,3.00,caught,2,v Australia,Mohali,2-Nov-09
27,19,4,0,142.10,7.00,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
54,65,7,0,83.07,4.00,lbw,1,v Sri Lanka,Nagpur,18-Dec-09
107,114,11,1,93.85,4.00,caught,2,v Sri Lanka,Kolkata,24-Dec-09
91,102,7,0,89.21,3.00,caught,2,v Bangladesh,Dhaka,7-Jan-10
102,95,11,0,107.36,3.00,not out,2,v Bangladesh,Dhaka,11-Jan-10
31,46,1,0,67.39,5.00,caught,1,v South Africa,Jaipur,21-Feb-10
57,71,4,1,80.28,3.00,caught,2,v South Africa,Ahmedabad,27-Feb-10
0,0,0,0,0.00,3.00,run out,1,v Zimbabwe,Bulawayo,28-May-10
18,29,1,0,62.06,3.00,caught,1,v Zimbabwe,Harare,3-Jun-10
10,14,1,0,71.42,3.00,caught,1,v Sri Lanka,Dambulla,22-Jun-10
28,34,4,0,82.35,3.00,caught,1,v Sri Lanka,Dambulla,24-Jun-10
0,3,0,0,0.00,3.00,caught,2,v Sri Lanka,Dambulla,16-Aug-10
37,57,5,0,64.91,3.00,caught,2,v Sri Lanka,Dambulla,28-Aug-10
118,121,11,1,97.52,3.00,caught,2,v Australia,Visakhapatnam,20-Oct-10
105,104,10,0,100.96,3.00,caught,1,v New Zealand,Guwahati,28-Nov-10
64,73,8,0,87.67,3.00,caught,2,v New Zealand,Jaipur,1-Dec-10
63,70,6,2,90.00,3.00,not out,2,v New Zealand,Vadodara,4-Dec-10
0,2,0,0,0.00,3.00,caught,2,v New Zealand,Bengaluru,7-Dec-10
2,8,0,0,25.00,3.00,caught,2,v New Zealand,Chennai,10-Dec-10
54,70,2,1,77.14,3.00,caught,2,v South Africa,Durban,12-Jan-11
22,34,1,0,64.70,3.00,run out,1,v South Africa,Johannesburg,15-Jan-11
28,41,5,0,68.29,3.00,caught,2,v South Africa,Cape Town,18-Jan-11
87,92,7,2,94.56,3.00,not out,2,v South Africa,Port Elizabeth,21-Jan-11
2,6,0,0,33.33,3.00,caught,2,v South Africa,Centurion,23-Jan-11
100,83,8,2,120.48,4.00,not out,1,v Bangladesh,Dhaka,19-Feb-11
34,53,3,0,64.15,4.00,run out,2,v Ireland,Bengaluru,6-Mar-11
12,20,2,0,60.00,5.00,bowled,2,v Netherlands,Delhi,9-Mar-11
1,3,0,0,33.33,7.00,caught,1,v South Africa,Nagpur,12-Mar-11
59,76,5,0,77.63,3.00,bowled,1,v West Indies,Chennai,20-Mar-11
24,33,1,0,72.72,4.00,caught,2,v Australia,Ahmedabad,24-Mar-11
9,21,0,0,42.85,4.00,caught,1,v Pakistan,Mohali,30-Mar-11
35,49,4,0,71.42,4.00,caught,2,v Sri Lanka,Mumbai,2-Apr-11
2,8,0,0,25.00,3.00,caught,2,v West Indies,Port of Spain,6-Jun-11
81,103,6,1,78.64,3.00,caught,2,v West Indies,Port of Spain,8-Jun-11
0,1,0,0,0.00,3.00,lbw,2,v West Indies,North Sound,11-Jun-11
22,33,1,0,66.66,3.00,stumped,2,v West Indies,North Sound,13-Jun-11
94,104,10,0,90.38,3.00,run out,1,v West Indies,Kingston,16-Jun-11
9,9,0,0,100.00,4.00,caught,1,v England,Southampton,6-Sep-11
7,18,0,0,38.88,4.00,caught,1,v England,The Oval,9-Sep-11
107,93,9,1,115.05,4.00,hit wicket,1,v England,Cardiff,16-Sep-11
37,63,0,0,58.73,4.00,caught,1,v England,Hyderabad (Deccan),14-Oct-11
112,98,16,0,114.28,4.00,not out,2,v England,Delhi,17-Oct-11
35,30,5,0,116.66,4.00,lbw,2,v England,Mohali,20-Oct-11
86,99,11,0,86.86,4.00,not out,2,v England,Mumbai,23-Oct-11
0,5,0,0,0.00,3.00,bowled,1,v England,Kolkata,25-Oct-11
3,6,0,0,50.00,4.00,bowled,2,v West Indies,Cuttack,29-Nov-11
117,123,14,0,95.12,4.00,caught,2,v West Indies,Visakhapatnam,2-Dec-11
20,30,3,0,66.66,4.00,lbw,2,v West Indies,Ahmedabad,5-Dec-11
23,11,3,0,209.09,6.00,not out,1,v West Indies,Indore,8-Dec-11
80,85,5,0,94.11,5.00,caught,1,v West Indies,Chennai,11-Dec-11
31,34,3,0,91.17,3.00,caught,2,v Australia,Melbourne,5-Feb-12
18,28,1,0,64.28,3.00,caught,2,v Australia,Adelaide,12-Feb-12
12,25,0,0,48.00,3.00,caught,2,v Australia,Brisbane,19-Feb-12
21,27,2,0,77.77,4.00,caught,2,v Australia,Sydney,26-Feb-12
66,82,5,0,80.48,3.00,bowled,1,v Bangladesh,Dhaka,16-Mar-12
106,113,9,0,93.80,3.00,caught,1,v Sri Lanka,Hambantota,21-Jul-12
1,5,0,0,20.00,3.00,caught,1,v Sri Lanka,Hambantota,24-Jul-12
38,65,2,0,58.46,3.00,caught,2,v Sri Lanka,Colombo (RPS),28-Jul-12
128,119,12,1,107.56,3.00,not out,2,v Sri Lanka,Colombo (RPS),31-Jul-12
23,35,2,0,65.71,3.00,lbw,1,v Sri Lanka,Pallekele,4-Aug-12
0,5,0,0,0.00,3.00,bowled,1,v Pakistan,Chennai,30-Dec-12
6,9,1,0,66.66,3.00,caught,2,v Pakistan,Kolkata,3-Jan-13
7,17,1,0,41.17,3.00,caught,1,v Pakistan,Delhi,6-Jan-13
15,22,1,0,68.18,3.00,caught,2,v England,Rajkot,11-Jan-13
37,54,1,1,68.51,3.00,caught,1,v England,Kochi,15-Jan-13
77,79,9,2,97.46,3.00,not out,2,v England,Ranchi,19-Jan-13
26,33,3,0,78.78,3.00,caught,2,v England,Mohali,23-Jan-13
0,1,0,0,0.00,3.00,caught,1,v England,Dharamsala,27-Jan-13
43,34,4,1,126.47,3.00,caught,1,v England,Birmingham,23-Jun-13
11,21,0,1,52.38,3.00,caught,1,v West Indies,Kingston,30-Jun-13
102,83,13,2,122.89,3.00,caught,1,v West Indies,Port of Spain,5-Jul-13
115,108,13,1,106.48,3.00,caught,2,v Zimbabwe,Harare,24-Jul-13
14,18,2,0,77.77,3.00,caught,1,v Zimbabwe,Harare,26-Jul-13
68,88,5,1,77.27,3.00,not out,2,v Zimbabwe,Harare,28-Jul-13
61,85,6,0,71.76,3.00,lbw,2,v Australia,Pune,13-Oct-13
100,52,8,7,192.30,3.00,not out,2,v Australia,Jaipur,16-Oct-13
68,73,9,0,93.15,3.00,caught,1,v Australia,Mohali,19-Oct-13
115,66,18,1,174.24,3.00,not out,2,v Australia,Nagpur,30-Oct-13
0,3,0,0,0.00,3.00,run out,1,v Australia,Bengaluru,2-Nov-13
86,84,9,2,102.38,3.00,caught,2,v West Indies,Kochi,21-Nov-13
99,100,9,0,99.00,3.00,caught,1,v West Indies,Visakhapatnam,24-Nov-13
19,18,3,0,105.55,3.00,caught,2,v West Indies,Kanpur,27-Nov-13
31,35,5,0,88.57,3.00,caught,2,v South Africa,Johannesburg,5-Dec-13
0,5,0,0,0.00,3.00,caught,2,v South Africa,Durban,8-Dec-13
123,111,11,2,110.81,3.00,caught,2,v New Zealand,Napier,19-Jan-14
78,65,7,2,120.00,3.00,caught,2,v New Zealand,Hamilton,22-Jan-14
2,10,0,0,20.00,2.00,caught,1,v New Zealand,Hamilton,28-Jan-14
82,78,7,3,105.12,3.00,caught,2,v New Zealand,Wellington,31-Jan-14
136,122,16,2,111.47,3.00,bowled,2,v Bangladesh,Fatullah,26-Feb-14
0,3,0,0,0.00,3.00,caught,1,v England,Cardiff,27-Aug-14
40,50,2,1,80.00,3.00,caught,2,v England,Nottingham,30-Aug-14
1,3,0,0,33.33,3.00,not out,2,v England,Birmingham,2-Sep-14
13,21,2,0,61.90,3.00,caught,2,v England,Leeds,5-Sep-14
2,5,0,0,40.00,3.00,caught,2,v West Indies,Kochi,8-Oct-14
62,78,5,0,79.48,4.00,caught,1,v West Indies,Delhi,11-Oct-14
127,114,13,3,111.40,3.00,run out,1,v West Indies,Dharamsala,17-Oct-14
22,21,2,0,104.76,4.00,caught,1,v Sri Lanka,Cuttack,2-Nov-14
49,44,2,2,111.36,4.00,caught,2,v Sri Lanka,Ahmedabad,6-Nov-14
53,61,4,1,86.88,4.00,caught,2,v Sri Lanka,Hyderabad (Deccan),9-Nov-14
66,64,6,0,103.12,4.00,run out,1,v Sri Lanka,Kolkata,13-Nov-14
139,126,12,3,110.31,4.00,not out,2,v Sri Lanka,Ranchi,16-Nov-14
9,16,0,0,56.25,4.00,caught,1,v Australia,Melbourne,18-Jan-15
1,13,0,0,7.69,3.00,caught,2,v Australia,Sydney,26-Mar-15
1,4,0,0,25.00,3.00,caught,2,v Bangladesh,Dhaka,18-Jun-15
23,27,3,1,85.18,3.00,lbw,1,v Bangladesh,Dhaka,21-Jun-15
25,35,1,0,71.42,3.00,bowled,1,v Bangladesh,Dhaka,24-Jun-15
11,18,0,0,61.11,4.00,caught,2,v South Africa,Kanpur,11-Oct-15
12,18,0,0,66.66,4.00,run out,1,v South Africa,Indore,14-Oct-15
77,99,5,0,77.77,3.00,caught,2,v South Africa,Rajkot,18-Oct-15
138,140,6,5,98.57,3.00,caught,1,v South Africa,Chennai,22-Oct-15
7,6,0,1,116.66,3.00,caught,2,v South Africa,Mumbai,25-Oct-15
91,97,9,1,93.81,3.00,caught,1,v Australia,Perth,12-Jan-16
59,67,4,0,88.05,3.00,run out,1,v Australia,Brisbane,15-Jan-16
117,117,7,2,100.00,3.00,caught,1,v Australia,Melbourne,17-Jan-16
106,92,11,1,115.21,3.00,caught,2,v Australia,Canberra,20-Jan-16
8,11,1,0,72.72,3.00,caught,2,v Australia,Sydney,23-Jan-16
85,81,9,1,104.93,3.00,not out,2,v New Zealand,Dharamsala,16-Oct-16
9,13,1,0,69.23,3.00,caught,2,v New Zealand,Delhi,20-Oct-16
154,134,16,1,114.92,3.00,not out,2,v New Zealand,Mohali,23-Oct-16
45,51,2,1,88.23,3.00,caught,2,v New Zealand,Ranchi,26-Oct-16
65,76,2,1,85.52,3.00,caught,1,v New Zealand,Visakhapatnam,29-Oct-16
122,105,8,5,116.19,3.00,caught,2,v England,Pune,15-Jan-17
8,5,2,0,160.00,3.00,caught,1,v England,Cuttack,19-Jan-17
55,63,8,0,87.30,3.00,caught,2,v England,Kolkata,22-Jan-17
