Time Period,Revenue
2000Q1,1517
2000Q2,1248
2000Q3,1677
2000Q4,1393
2001Q1,1558
2001Q2,1368
2001Q3,1790
2001Q4,1396
2002Q1,1638
2002Q2,1507
2002Q3,1868
2002Q4,1510
2003Q1,1669
2003Q2,1392
2003Q3,1853
2003Q4,1353
2004Q1,1623
2004Q2,1401
2004Q3,1758
2004Q4,1078
2005Q1,1674
2005Q2,1516
2005Q3,1924
2005Q4,1522
2006Q1,2459
2006Q2,2428
2006Q3,2949
2006Q4,2248
2007Q1,2538
2007Q2,2400
2007Q3,2941
2007Q4,2420
2008Q1,2621
2008Q2,2521
2008Q3,3083
2008Q4,2574
2009Q1,2577
2009Q2,2457
2009Q3,2888
2009Q4,2458
2010Q1,2674
2010Q2,2917
2010Q3,3468
2010Q4,2931
2011Q1,3273
2011Q2,3064
2011Q3,3744
2011Q4,3241
2012Q1,3824
2012Q2,3517
2012Q3,4173
2012Q4,3369
2013Q1,3751
2013Q2,3383
2013Q3,3879
2013Q4,3391
2014Q1,3480
2014Q2,3400
2014Q3,4044
2014Q4,3610
2015Q1,4083
2015Q2,3907
2015Q3,4758
2015Q4,4167
2016Q1,4769
2016Q2,4199
2016Q3,5413
2016Q4,4687
2017Q1,5671
2017Q2,5038
2017Q3,5677
2017Q4,5056
2018Q1,5548
2018Q2,5261
2018Q3,5873
2018Q4,5234
2019Q1,5883
2019Q2,5509
2019Q3,6410
2019Q4,5838
2020Q1,4381
2020Q2,3352
2020Q3,5561
2020Q4,5142
2021Q1,5268
2021Q2,5077
2021Q3,5752
2021Q4,5137